info
Sep 22, 2022 148.82 148.89 142.47 143.03 141.99 3,249,400
Sep 21, 2022 154.67 154.81 148.66 148.71 147.63 2,599,900
Sep 20, 2022 153.58 154.59 152.13 153.48 152.37 1,725,900
Sep 19, 2022 151.25 155.48 150.70 155.36 154.23 2,472,500
Sep 16, 2022 154.08 154.08 150.51 153.08 151.97 6,527,200
Sep 15, 2022 156.43 158.79 155.90 156.13 155.00 2,371,600
Sep 14, 2022 156.18 157.56 153.50 156.30 155.17 2,840,200
Sep 13, 2022 158.14 159.81 154.84 155.35 154.22 3,519,800
Sep 12, 2022 159.50 163.45 159.34 162.45 161.27 4,146,300
Sep 09, 2022 154.45 158.59 154.30 158.44 157.29 3,543,500
Sep 08, 2022 150.92 153.69 149.51 153.52 152.41 3,399,200
Sep 07, 2022 148.40 152.70 148.38 152.25 151.15 1,766,400
Sep 06, 2022 150.00 151.31 146.55 148.60 147.52 2,797,600
Sep 02, 2022 153.48 153.98 148.93 149.79 148.70 2,028,500
Sep 01, 2022 150.82 151.37 147.65 151.11 150.02 2,425,200
Aug 31, 2022 155.56 156.37 151.84 152.00 150.90 3,271,600
Aug 30, 2022 155.64 156.12 152.90 154.66 153.54 2,104,500
Aug 29, 2022 155.88 156.51 154.41 154.54 153.42 2,693,600
Aug 26, 2022 163.21 163.59 157.19 157.31 156.17 2,373,700
Aug 25, 2022 160.00 162.33 158.78 162.23 161.05 1,936,300"
